Ranking;Title;Director;genre_action;genre_adventure;genre_comedy;genre_crime;genre_drama;genre_fantasy;genre_horror;genre_mystery;genre_romance;genre_sci-fi;genre_thriller;Actor 1;Actor 2;Actor 3;Actor 4;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
143;The Big Short;Adam McKay;no;no;yes;no;yes;no;no;no;no;no;no;Christian Bale;Steve Carell;Ryan Gosling;Brad Pitt;2015;130;7.8;246360;70.24;81
144;Room;Lenny Abrahamson;no;no;no;no;yes;no;no;no;no;no;no;Brie Larson;Jacob Tremblay;Sean Bridgers;Wendy Crewson;2015;118;8.2;224132;14.68;86
145;Django Unchained;Quentin Tarantino;no;no;no;no;yes;no;no;no;no;no;no;Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington;2012;165;8.4;1039115;162.8;81
146;Ah-ga-ssi;Chan-wook Park;no;no;no;no;yes;no;no;yes;yes;no;no;Min-hee Kim;Jung-woo Ha;Jin-woong Jo;So-ri Moon;2016;144;8.1;33418;2.01;84
147;The Edge of Seventeen;Kelly Fremon Craig;no;no;yes;no;yes;no;no;no;no;no;no;Hailee Steinfeld;Haley Lu Richardson;Blake Jenner;Kyra Sedgwick;2016;104;7.4;47694;14.26;77
148;Watchmen;Zack Snyder;yes;no;no;no;yes;no;no;yes;no;no;no;Jackie Earle Haley;Patrick Wilson;Carla Gugino;Malin Akerman;2009;162;7.6;410249;107.5;56
149;Superbad;Greg Mottola;no;no;yes;no;no;no;no;no;no;no;no;Michael Cera;Jonah Hill;Christopher Mintz-Plasse;Bill Hader;2007;113;7.6;442082;121.46;76
150;Inferno;Ron Howard;yes;yes;no;yes;no;no;no;no;no;no;no;Tom Hanks;Felicity Jones;Irrfan Khan;Ben Foster;2016;121;6.2;97623;34.26;42
151;The BFG;Steven Spielberg;no;yes;no;no;no;yes;no;no;no;no;no;Mark Rylance;Ruby Barnhill;Penelope Wilton;Jemaine Clement;2016;117;6.4;50853;55.47;66
152;The Hunger Games;Gary Ross;no;yes;no;no;no;no;no;no;no;yes;yes;Jennifer Lawrence;Josh Hutcherson;Liam Hemsworth;Stanley Tucci;2012;142;7.2;735604;408;68
153;White Girl;Elizabeth Wood;no;no;no;no;yes;no;no;no;no;no;no;Morgan Saylor;Brian Marc;Justin Bartha;Adrian Martinez;2016;88;5.8;4299;0.2;65
154;Sicario;Denis Villeneuve;yes;no;no;yes;yes;no;no;no;no;no;no;Emily Blunt;Josh Brolin;Benicio Del Toro;Jon Bernthal;2015;121;7.6;243230;46.88;82
155;Twin Peaks: The Missing Pieces;David Lynch;no;no;no;no;yes;no;yes;yes;no;no;no;Chris Isaak;Kiefer Sutherland;C.H. Evans;Sandra Kinder;2014;91;8.1;1973;;
156;Aliens vs Predator - Requiem;Colin Strause;yes;no;no;no;no;no;yes;no;no;yes;no;Reiko Aylesworth;Steven Pasquale;Shareeka Epps;John Ortiz;2007;94;4.7;97618;41.8;29
157;Pacific Rim;Guillermo del Toro;yes;yes;no;no;no;no;no;no;no;yes;no;Idris Elba;Charlie Hunnam;Rinko Kikuchi;Charlie Day;2013;131;7;400519;101.79;64
158;Crazy, Stupid, Love.;Glenn Ficarra;no;no;yes;no;yes;no;no;no;yes;no;no;Steve Carell;Ryan Gosling;Julianne Moore;Emma Stone;2011;118;7.4;396714;84.24;68
159;Scott Pilgrim vs. the World;Edgar Wright;yes;no;yes;no;no;yes;no;no;no;no;no;Michael Cera;Mary Elizabeth Winstead;Kieran Culkin;Alison Pill;2010;112;7.5;291457;31.49;69
160;Hot Fuzz;Edgar Wright;yes;no;yes;no;no;no;no;yes;no;no;no;Simon Pegg;Nick Frost;Martin Freeman;Bill Nighy;2007;121;7.9;373244;23.62;81
161;Mine;Fabio Guaglione;no;no;no;no;no;no;no;no;no;no;yes;Armie Hammer;Annabelle Wallis;Tom Cullen;Clint Dyer;2016;106;6;5926;;40
162;Free Fire;Ben Wheatley;yes;no;yes;yes;no;no;no;no;no;no;no;Sharlto Copley;Brie Larson;Armie Hammer;Cillian Murphy;2016;90;7;6946;1.8;63
163;X-Men: Days of Future Past;Bryan Singer;yes;yes;no;no;no;no;no;no;no;yes;no;Patrick Stewart;Ian McKellen;Hugh Jackman;James McAvoy;2014;132;8;552298;233.91;74
164;Jack Reacher: Never Go Back;Edward Zwick;yes;yes;no;yes;no;no;no;no;no;no;no;Tom Cruise;Cobie Smulders;Aldis Hodge;Robert Knepper;2016;118;6.1;78043;58.4;47
165;Casino Royale;Martin Campbell;yes;yes;no;no;no;no;no;no;no;no;yes;Daniel Craig;Eva Green;Judi Dench;Jeffrey Wright;2006;144;8;495106;167.01;80
166;Twilight;Catherine Hardwicke;no;no;no;no;yes;yes;no;no;yes;no;no;Kristen Stewart;Robert Pattinson;Billy Burke;Sarah Clarke;2008;122;5.2;361449;191.45;56
167;Now You See Me 2;Jon M. Chu;yes;yes;yes;no;no;no;no;no;no;no;no;Jesse Eisenberg;Mark Ruffalo;Woody Harrelson;Dave Franco;2016;129;6.5;156567;65.03;46
168;Woman in Gold;Simon Curtis;no;no;no;no;yes;no;no;no;no;no;no;Helen Mirren;Ryan Reynolds;Daniel Brühl;Katie Holmes;2015;109;7.3;39723;33.31;51
169;13 Hours;Michael Bay;yes;no;no;no;yes;no;no;no;no;no;no;John Krasinski;Pablo Schreiber;James Badge Dale;David Denman;2016;144;7.3;76935;52.82;48
170;Spectre;Sam Mendes;yes;yes;no;no;no;no;no;no;no;no;yes;Daniel Craig;Christoph Waltz;Léa Seydoux;Ralph Fiennes;2015;148;6.8;308981;200.07;60
171;Nightcrawler;Dan Gilroy;no;no;no;yes;yes;no;no;no;no;no;yes;Jake Gyllenhaal;Rene Russo;Bill Paxton;Riz Ahmed;2014;118;7.9;332476;32.28;76
172;Kubo and the Two Strings;Travis Knight;no;yes;no;no;no;no;no;no;no;no;no;Charlize Theron;Art Parkinson;Matthew McConaughey;Ralph Fiennes;2016;101;7.9;72778;48.02;84
173;Beyond the Gates;Jackson Stewart;no;yes;no;no;no;no;yes;no;no;no;no;Graham Skipper;Chase Williamson;Brea Grant;Barbara Crampton;2016;84;5.2;2127;;59
174;Her;Spike Jonze;no;no;no;no;yes;no;no;no;yes;yes;no;Joaquin Phoenix;Amy Adams;Scarlett Johansson;Rooney Mara;2013;126;8;390531;25.56;90
175;Frozen;Chris Buck;no;yes;yes;no;no;no;no;no;no;no;no;Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;2013;102;7.5;451894;400.74;74
176;Tomorrowland;Brad Bird;yes;yes;no;no;no;no;no;no;no;no;no;George Clooney;Britt Robertson;Hugh Laurie;Raffey Cassidy;2015;130;6.5;143069;93.42;60
177;Dawn of the Planet of the Apes;Matt Reeves;yes;yes;no;no;yes;no;no;no;no;no;no;Gary Oldman;Keri Russell;Andy Serkis;Kodi Smit-McPhee;2014;130;7.6;337777;208.54;79
178;Tropic Thunder;Ben Stiller;yes;no;yes;no;no;no;no;no;no;no;no;Ben Stiller;Jack Black;Robert Downey Jr.;Jeff Kahn;2008;107;7;321442;110.42;71
179;The Conjuring 2;James Wan;no;no;no;no;no;no;yes;yes;no;no;yes;Vera Farmiga;Patrick Wilson;Madison Wolfe;Frances O'Connor;2016;134;7.4;137203;102.46;65
180;Ant-Man;Peyton Reed;yes;yes;yes;no;no;no;no;no;no;no;no;Paul Rudd;Michael Douglas;Corey Stoll;Evangeline Lilly;2015;117;7.3;368912;180.19;64
181;Bridget Jones's Baby;Sharon Maguire;no;no;yes;no;no;no;no;no;yes;no;no;Renée Zellweger;Gemma Jones;Jim Broadbent;Sally Phillips;2016;118;6.7;43086;24.09;59
182;The VVitch: A New-England Folktale;Robert Eggers;no;no;no;no;no;no;yes;yes;no;no;no;Anya Taylor-Joy;Ralph Ineson;Kate Dickie;Julian Richings;2015;92;6.8;101781;25.14;83
183;Cinderella;Kenneth Branagh;no;no;no;no;yes;yes;no;no;no;no;no;Lily James;Cate Blanchett;Richard Madden;Helena Bonham Carter;2015;105;7;117018;201.15;67
184;Realive;Mateo Gil;no;no;no;no;no;no;no;no;no;yes;no;Tom Hughes;Charlotte Le Bon;Oona Chaplin;Barry Ward;2016;112;5.9;1176;;
185;Forushande;Asghar Farhadi;no;no;no;no;yes;no;no;no;no;no;yes;Taraneh Alidoosti;Shahab Hosseini;Babak Karimi;Farid Sajjadi Hosseini;2016;124;8;22389;3.4;85
186;Love;Gaspar NoÃ©;no;no;no;no;yes;no;no;no;yes;no;no;Aomi Muyock;Karl Glusman;Klara Kristin;Juan Saavedra;2015;135;6;24003;;51
187;Billy Lynn's Long Halftime Walk;Ang Lee;no;no;no;no;yes;no;no;no;no;no;no;Joe Alwyn;Garrett Hedlund;Arturo Castro;Mason Lee;2016;113;6.3;11944;1.72;53
188;Crimson Peak;Guillermo del Toro;no;no;no;no;yes;yes;yes;no;no;no;no;Mia Wasikowska;Jessica Chastain;Tom Hiddleston;Charlie Hunnam;2015;119;6.6;97454;31.06;66
189;Drive;Nicolas Winding Refn;no;no;no;yes;yes;no;no;no;no;no;no;Ryan Gosling;Carey Mulligan;Bryan Cranston;Albert Brooks;2011;100;7.8;461509;35.05;78
190;Trainwreck;Judd Apatow;no;no;yes;no;yes;no;no;no;yes;no;no;Amy Schumer;Bill Hader;Brie Larson;Colin Quinn;2015;125;6.3;106364;110.01;75
191;The Light Between Oceans;Derek Cianfrance;no;no;no;no;yes;no;no;no;yes;no;no;Michael Fassbender;Alicia Vikander;Rachel Weisz;Florence Clery;2016;133;7.2;27382;12.53;60
192;Below Her Mouth;April Mullen;no;no;no;no;yes;no;no;no;no;no;no;Erika Linder;Natalie Krill;Sebastian Pigott;Mayko Nguyen;2016;94;5.6;1445;;42
193;Spotlight;Tom McCarthy;no;no;no;yes;yes;no;no;no;no;no;no;Mark Ruffalo;Michael Keaton;Rachel McAdams;Liev Schreiber;2015;128;8.1;268282;44.99;93
194;Morgan;Luke Scott;no;no;no;no;no;no;yes;no;no;yes;yes;Kate Mara;Anya Taylor-Joy;Rose Leslie;Michael Yare;2016;92;5.8;22107;3.91;48
195;Warrior;Gavin O'Connor;yes;no;no;no;yes;no;no;no;no;no;no;Tom Hardy;Nick Nolte;Joel Edgerton;Jennifer Morrison;2011;140;8.2;355722;13.65;71
196;Captain America: The First Avenger;Joe Johnston;yes;yes;no;no;no;no;no;no;no;yes;no;Chris Evans;Hugo Weaving;Samuel L. Jackson;Hayley Atwell;2011;124;6.9;547368;176.64;66
197;Hacker;Akan Satayev;no;no;no;yes;yes;no;no;no;no;no;yes;Callan McAuliffe;Lorraine Nicholson;Daniel Eric Gold;Clifton Collins Jr.;2016;95;6.3;3799;;
198;Into the Wild;Sean Penn;no;yes;no;no;yes;no;no;no;no;no;no;Emile Hirsch;Vince Vaughn;Catherine Keener;Marcia Gay Harden;2007;148;8.1;459304;18.35;73
199;The Imitation Game;Morten Tyldum;no;no;no;no;yes;no;no;no;no;no;yes;Benedict Cumberbatch;Keira Knightley;Matthew Goode;Allen Leech;2014;114;8.1;532353;91.12;73
200;Central Intelligence;Rawson Marshall Thurber;yes;no;yes;yes;no;no;no;no;no;no;no;Dwayne Johnson;Kevin Hart;Danielle Nicolet;Amy Ryan;2016;107;6.3;97082;127.38;52
201;Edge of Tomorrow;Doug Liman;yes;yes;no;no;no;no;no;no;no;yes;no;Tom Cruise;Emily Blunt;Bill Paxton;Brendan Gleeson;2014;113;7.9;471815;100.19;71
202;A Cure for Wellness;Gore Verbinski;no;no;no;no;yes;yes;yes;no;no;no;no;Dane DeHaan;Jason Isaacs;Mia Goth;Ivo Nandi;2016;146;6.5;12193;8.1;47
203;Snowden;Oliver Stone;no;no;no;no;yes;no;no;no;no;no;yes;Joseph Gordon-Levitt;Shailene Woodley;Melissa Leo;Zachary Quinto;2016;134;7.3;79855;21.48;58
204;Iron Man;Jon Favreau;yes;yes;no;no;no;no;no;no;no;yes;no;Robert Downey Jr.;Gwyneth Paltrow;Terrence Howard;Jeff Bridges;2008;126;7.9;737719;318.3;79
205;Allegiant;Robert Schwentke;yes;yes;no;no;no;no;no;yes;no;no;no;Shailene Woodley;Theo James;Jeff Daniels;Naomi Watts;2016;120;5.7;70504;66;33
206;X: First Class;Matthew Vaughn;yes;yes;no;no;no;no;no;no;no;yes;no;James McAvoy;Michael Fassbender;Jennifer Lawrence;Kevin Bacon;2011;132;7.8;550011;146.41;65
207;Raw (II);Julia Ducournau;no;no;no;no;yes;no;yes;no;no;no;no;Garance Marillier;Ella Rumpf;Rabah Nait Oufella;Laurent Lucas;2016;99;7.5;5435;0.51;81
208;Paterson;Jim Jarmusch;no;no;yes;no;yes;no;no;no;yes;no;no;Adam Driver;Golshifteh Farahani;Nellie;Rizwan Manji;2016;118;7.5;26089;2.14;90
209;Bridesmaids;Paul Feig;no;no;yes;no;no;no;no;no;yes;no;no;Kristen Wiig;Maya Rudolph;Rose Byrne;Terry Crews;2011;125;6.8;227912;169.08;75
210;The Girl with All the Gifts;Colm McCarthy;no;no;no;no;yes;no;yes;no;no;no;yes;Gemma Arterton;Glenn Close;Dominique Tipper;Paddy Considine;2016;111;6.7;23713;;67
211;San Andreas;Brad Peyton;yes;yes;no;no;yes;no;no;no;no;no;no;Dwayne Johnson;Carla Gugino;Alexandra Daddario;Colton Haynes;2015;114;6.1;161396;155.18;43
212;Spring Breakers;Harmony Korine;no;no;no;no;yes;no;no;no;no;no;no;Vanessa Hudgens;Selena Gomez;Ashley Benson;Rachel Korine;2012;94;5.3;114290;14.12;63
213;Transformers;Michael Bay;yes;yes;no;no;no;no;no;no;no;yes;no;Shia LaBeouf;Megan Fox;Josh Duhamel;Tyrese Gibson;2007;144;7.1;531112;318.76;61
214;Old Boy;Spike Lee;yes;no;no;no;yes;no;no;yes;no;no;no;Josh Brolin;Elizabeth Olsen;Samuel L. Jackson;Sharlto Copley;2013;104;5.8;54679;;49
215;Thor: The Dark World;Alan Taylor;yes;yes;no;no;no;yes;no;no;no;no;no;Chris Hemsworth;Natalie Portman;Tom Hiddleston;Stellan Skarsgård;2013;112;7;443584;206.36;54
216;Gods of Egypt;Alex Proyas;yes;yes;no;no;no;yes;no;no;no;no;no;Brenton Thwaites;Nikolaj Coster-Waldau;Gerard Butler;Chadwick Boseman;2016;126;5.5;73568;31.14;25
217;Captain America: The Winter Soldier;Anthony Russo;yes;yes;no;no;no;no;no;no;no;yes;no;Chris Evans;Samuel L. Jackson;Scarlett Johansson;Robert Redford;2014;136;7.8;542362;259.75;70
218;Monster Trucks;Chris Wedge;yes;yes;yes;no;no;no;no;no;no;no;no;Lucas Till;Jane Levy;Thomas Lennon;Barry Pepper;2016;104;5.7;7044;33.04;41
219;A Dark Song;Liam Gavin;no;no;no;no;yes;no;yes;no;no;no;no;Mark Huberman;Susan Loughnane;Steve Oram;Catherine Walker;2016;100;6.1;1703;;67
220;Kick-Ass;Matthew Vaughn;yes;no;yes;no;no;no;no;no;no;no;no;Aaron Taylor-Johnson;Nicolas Cage;Chloë Grace Moretz;Garrett M. Brown;2010;117;7.7;456749;48.04;66
221;Hardcore Henry;Ilya Naishuller;yes;yes;no;no;no;no;no;no;no;yes;no;Sharlto Copley;Tim Roth;Haley Bennett;Danila Kozlovsky;2015;96;6.7;61098;9.24;51
222;Cars;John Lasseter;no;yes;yes;no;no;no;no;no;no;no;no;Owen Wilson;Bonnie Hunt;Paul Newman;Larry the Cable Guy;2006;117;7.1;283445;244.05;73
223;It Follows;David Robert Mitchell;no;no;no;no;no;no;yes;yes;no;no;no;Maika Monroe;Keir Gilchrist;Olivia Luccardi;Lili Sepe;2014;100;6.9;136399;14.67;83
224;The Girl with the Dragon Tattoo;David Fincher;no;no;no;yes;yes;no;no;yes;no;no;no;Daniel Craig;Rooney Mara;Christopher Plummer;Stellan Skarsgård;2011;158;7.8;348551;102.52;71
225;We're the Millers;Rawson Marshall Thurber;no;no;yes;yes;no;no;no;no;no;no;no;Jason Sudeikis;Jennifer Aniston;Emma Roberts;Ed Helms;2013;110;7;334867;150.37;44
226;American Honey;Andrea Arnold;no;no;no;no;yes;no;no;no;no;no;no;Sasha Lane;Shia LaBeouf;Riley Keough;McCaul Lombardi;2016;163;7;19660;0.66;79
227;The Lobster;Yorgos Lanthimos;no;no;yes;no;yes;no;no;no;yes;no;no;Colin Farrell;Rachel Weisz;Jessica Barden;Olivia Colman;2015;119;7.1;121313;8.7;82
228;Predators;NimrÃ³d Antal;yes;yes;no;no;no;no;no;no;no;yes;no;Adrien Brody;Laurence Fishburne;Topher Grace;Alice Braga;2010;107;6.4;179450;52;51
229;Maleficent;Robert Stromberg;yes;yes;no;no;no;no;no;no;no;no;no;Angelina Jolie;Elle Fanning;Sharlto Copley;Lesley Manville;2014;97;7;268877;241.41;56
230;Rupture;Steven Shainberg;no;no;no;no;no;no;yes;no;no;yes;yes;Noomi Rapace;Michael Chiklis;Kerry Bishé;Peter Stormare;2016;102;4.8;2382;;35
231;Pan's Labyrinth;Guillermo del Toro;no;no;no;no;yes;yes;no;no;no;no;no;Ivana Baquero;Ariadna Gil;Sergi López;Maribel Verdú;2006;118;8.2;498879;37.62;98
232;A Kind of Murder;Andy Goddard;no;no;no;yes;yes;no;no;no;no;no;yes;Patrick Wilson;Jessica Biel;Haley Bennett;Vincent Kartheiser;2016;95;5.2;3305;0;50
233;Apocalypto;Mel Gibson;yes;yes;no;no;yes;no;no;no;no;no;no;Gerardo Taracena;Raoul Max Trujillo;Dalia Hernández;Rudy Youngblood;2006;139;7.8;247926;50.86;68
234;Mission: Impossible - Rogue Nation;Christopher McQuarrie;yes;yes;no;no;no;no;no;no;no;no;yes;Tom Cruise;Rebecca Ferguson;Jeremy Renner;Simon Pegg;2015;131;7.4;257472;195;75
235;The Huntsman: Winter's War;Cedric Nicolas-Troyan;yes;yes;no;no;yes;no;no;no;no;no;no;Chris Hemsworth;Jessica Chastain;Charlize Theron;Emily Blunt;2016;114;6.1;66766;47.95;35
236;The Perks of Being a Wallflower;Stephen Chbosky;no;no;no;no;yes;no;no;no;yes;no;no;Logan Lerman;Emma Watson;Ezra Miller;Paul Rudd;2012;102;8;377336;17.74;67
237;Jackie;Pablo LarraÃ­n;no;no;no;no;yes;no;no;no;no;no;no;Natalie Portman;Peter Sarsgaard;Greta Gerwig;Billy Crudup;2016;100;6.8;41446;13.96;81
238;The Disappointments Room;D.J. Caruso;no;no;no;no;yes;no;yes;no;no;no;yes;Kate Beckinsale;Mel Raido;Duncan Joiner;Lucas Till;2016;85;3.9;4895;2.41;31
239;The Grand Budapest Hotel;Wes Anderson;no;yes;yes;no;yes;no;no;no;no;no;no;Ralph Fiennes;F. Murray Abraham;Mathieu Amalric;Adrien Brody;2014;99;8.1;530881;59.07;88
240;The Host;Andrew Niccol;yes;yes;no;no;no;no;no;no;yes;no;no;Saoirse Ronan;Max Irons;Jake Abel;Diane Kruger;2013;125;5.9;96852;26.62;35
241;Fury;David Ayer;yes;no;no;no;yes;no;no;no;no;no;no;Brad Pitt;Shia LaBeouf;Logan Lerman;Michael Peña;2014;134;7.6;332234;85.71;64
242;Inside Out;Pete Docter;no;yes;yes;no;no;no;no;no;no;no;no;Amy Poehler;Bill Hader;Lewis Black;Mindy Kaling;2015;95;8.2;416689;356.45;94
243;Rock Dog;Ash Brannon;no;yes;yes;no;no;no;no;no;no;no;no;Luke Wilson;Eddie Izzard;J.K. Simmons;Lewis Black;2016;90;5.8;1109;9.4;48
244;Terminator Genisys;Alan Taylor;yes;yes;no;no;no;no;no;no;no;yes;no;Arnold Schwarzenegger;Jason Clarke;Emilia Clarke;Jai Courtney;2015;126;6.5;205365;89.73;38
245;Percy Jackson & the Olympians: The Lightning Thief;Chris Columbus;no;yes;no;no;no;yes;no;no;no;no;no;Logan Lerman;Kevin McKidd;Steve Coogan;Brandon T. Jackson;2010;118;5.9;148949;88.76;47
246;Les MisÃ©rables;Tom Hooper;no;no;no;no;yes;no;no;no;yes;no;no;Hugh Jackman;Russell Crowe;Anne Hathaway;Amanda Seyfried;2012;158;7.6;257426;148.78;63
247;Children of Men;Alfonso CuarÃ³n;no;no;no;no;yes;no;no;no;no;yes;yes;Julianne Moore;Clive Owen;Chiwetel Ejiofor;Michael Caine;2006;109;7.9;382910;35.29;84
248;20th Century Women;Mike Mills;no;no;yes;no;yes;no;no;no;no;no;no;Annette Bening;Elle Fanning;Greta Gerwig;Billy Crudup;2016;119;7.4;14708;5.66;83
249;Spy;Paul Feig;yes;no;yes;yes;no;no;no;no;no;no;no;Melissa McCarthy;Rose Byrne;Jude Law;Jason Statham;2015;119;7.1;188017;110.82;75
250;The Intouchables;Olivier Nakache;no;no;yes;no;yes;no;no;no;no;no;no;François Cluzet;Omar Sy;Anne Le Ny;Audrey Fleurot;2011;112;8.6;557965;13.18;57
251;Bonjour Anne;Eleanor Coppola;no;no;yes;no;yes;no;no;no;yes;no;no;Diane Lane;Alec Baldwin;Arnaud Viard;Linda Gegusch;2016;92;4.9;178;0.32;50
252;Kynodontas;Yorgos Lanthimos;no;no;no;no;yes;no;no;no;no;no;yes;Christos Stergioglou;Michele Valley;Angeliki Papoulia;Hristos Passalis;2009;94;7.3;50946;0.11;73
253;Straight Outta Compton;F. Gary Gray;no;no;no;no;yes;no;no;no;no;no;no;O'Shea Jackson Jr.;Corey Hawkins;Jason Mitchell;Neil Brown Jr.;2015;147;7.9;139831;161.03;72
254;The Amazing Spider-Man 2;Marc Webb;yes;yes;no;no;no;no;no;no;no;yes;no;Andrew Garfield;Emma Stone;Jamie Foxx;Paul Giamatti;2014;142;6.7;342183;202.85;53
255;The Conjuring;James Wan;no;no;no;no;no;no;yes;yes;no;no;yes;Patrick Wilson;Vera Farmiga;Ron Livingston;Lili Taylor;2013;112;7.5;330305;137.39;68
256;The Hangover;Todd Phillips;no;no;yes;no;no;no;no;no;no;no;no;Zach Galifianakis;Bradley Cooper;Justin Bartha;Ed Helms;2009;100;7.8;611563;277.31;73
257;Battleship;Peter Berg;yes;yes;no;no;no;no;no;no;no;yes;no;Alexander Skarsgård;Brooklyn Decker;Liam Neeson;Rihanna;2012;131;5.8;210349;65.17;41
258;Rise of the Planet of the Apes;Rupert Wyatt;yes;no;no;no;yes;no;no;no;no;yes;no;James Franco;Andy Serkis;Freida Pinto;Karin Konoval;2011;105;7.6;422290;176.74;68
259;Lights Out;David F. Sandberg;no;no;no;no;no;no;yes;no;no;no;no;Teresa Palmer;Gabriel Bateman;Maria Bello;Billy Burke;2016;81;6.4;69823;67.24;58
260;Norman: The Moderate Rise and Tragic Fall of a New York Fixer;Joseph Cedar;no;no;no;no;yes;no;no;no;no;no;yes;Richard Gere;Lior Ashkenazi;Michael Sheen;Charlotte Gainsbourg;2016;118;7.1;664;2.27;76
261;Birdman or (The Unexpected Virtue of Ignorance);Alejandro GonzÃ¡lez IÃ±Ã¡rritu;no;no;yes;no;yes;no;no;no;yes;no;no;Michael Keaton;Zach Galifianakis;Edward Norton;Andrea Riseborough;2014;119;7.8;440299;42.34;88
262;Black Swan;Darren Aronofsky;no;no;no;no;yes;no;no;no;no;no;yes;Natalie Portman;Mila Kunis;Vincent Cassel;Winona Ryder;2010;108;8;581518;106.95;79
263;Dear White People;Justin Simien;no;no;yes;no;yes;no;no;no;no;no;no;Tyler James Williams;Tessa Thompson;Kyle Gallner;Teyonah Parris;2014;108;6.2;21715;4.4;79
264;Nymphomaniac: Vol. I;Lars von Trier;no;no;no;no;yes;no;no;no;no;no;no;Charlotte Gainsbourg;Stellan Skarsgård;Stacy Martin;Shia LaBeouf;2013;117;7;90556;0.79;64
265;Teenage Mutant Ninja Turtles: Out of the Shadows;Dave Green;yes;yes;yes;no;no;no;no;no;no;no;no;Megan Fox;Will Arnett;Tyler Perry;Laura Linney;2016;112;6;59312;0.54;40
266;Knock Knock;Eli Roth;no;no;no;no;yes;no;yes;no;no;no;yes;Keanu Reeves;Lorenza Izzo;Ana de Armas;Aaron Burns;2015;99;4.9;53441;0.03;53
267;Dirty Grandpa;Dan Mazer;no;no;yes;no;no;no;no;no;no;no;no;Robert De Niro;Zac Efron;Zoey Deutch;Aubrey Plaza;2016;102;6;75137;35.54;18
268;Cloud Atlas;Tom Tykwer;no;no;no;no;yes;no;no;no;no;yes;no;Tom Hanks;Halle Berry;Hugh Grant;Hugo Weaving;2012;172;7.5;298651;27.1;55
269;X-Men Origins: Wolverine;Gavin Hood;yes;yes;no;no;no;no;no;no;no;yes;no;Hugh Jackman;Liev Schreiber;Ryan Reynolds;Danny Huston;2009;107;6.7;388447;179.88;40
270;Satanic;Jeffrey G. Hunt;no;no;no;no;no;no;yes;no;no;no;no;Sarah Hyland;Steven Krueger;Justin Chon;Clara Mamet;2016;85;3.7;2384;;
271;Skyfall;Sam Mendes;yes;yes;no;no;no;no;no;no;no;no;yes;Daniel Craig;Javier Bardem;Naomie Harris;Judi Dench;2012;143;7.8;547386;304.36;81
272;The Hobbit: An Unexpected Journey;Peter Jackson;no;yes;no;no;no;yes;no;no;no;no;no;Martin Freeman;Ian McKellen;Richard Armitage;Andy Serkis;2012;169;7.9;668651;303;58
273;21 Jump Street;Phil Lord;yes;no;yes;yes;no;no;no;no;no;no;no;Jonah Hill;Channing Tatum;Ice Cube;Brie Larson;2012;110;7.2;432046;138.45;69
274;Sing Street;John Carney;no;no;yes;no;yes;no;no;no;no;no;no;Ferdia Walsh-Peelo;Aidan Gillen;Maria Doyle Kennedy;Jack Reynor;2016;106;8;52144;3.23;79
275;Ballerina;Eric Summer;no;yes;yes;no;no;no;no;no;no;no;no;Elle Fanning;Dane DeHaan;Carly Rae Jepsen;Maddie Ziegler;2016;89;6.8;4729;;
276;Oblivion;Joseph Kosinski;yes;yes;no;no;no;no;no;yes;no;no;no;Tom Cruise;Morgan Freeman;Andrea Riseborough;Olga Kurylenko;2013;124;7;410125;89.02;54
277;22 Jump Street;Phil Lord;yes;no;yes;yes;no;no;no;no;no;no;no;Channing Tatum;Jonah Hill;Ice Cube;Nick Offerman;2014;112;7.1;280110;191.62;71
278;Zodiac;David Fincher;no;no;no;yes;yes;no;no;no;no;no;no;Jake Gyllenhaal;Robert Downey Jr.;Mark Ruffalo;Anthony Edwards;2007;157;7.7;329683;33.05;78
279;Everybody Wants Some!!;Richard Linklater;no;no;yes;no;no;no;no;no;no;no;no;Blake Jenner;Tyler Hoechlin;Ryan Guzman;Zoey Deutch;2016;117;7;36312;3.37;83
280;Iron Man Three;Shane Black;yes;yes;no;no;no;no;no;no;no;yes;no;Robert Downey Jr.;Guy Pearce;Gwyneth Paltrow;Don Cheadle;2013;130;7.2;591023;408.99;62
281;Now You See Me;Louis Leterrier;no;no;no;yes;no;no;no;yes;no;no;yes;Jesse Eisenberg;Common;Mark Ruffalo;Woody Harrelson;2013;115;7.3;492324;117.7;50
282;Sherlock Holmes;Guy Ritchie;yes;yes;no;yes;no;no;no;no;no;no;no;Robert Downey Jr.;Jude Law;Rachel McAdams;Mark Strong;2009;128;7.6;501769;209.02;57
283;Death Proof;Quentin Tarantino;no;no;no;no;no;no;no;no;no;no;yes;Kurt Russell;Zoë Bell;Rosario Dawson;Vanessa Ferlito;2007;113;7.1;220236;;
284;The Danish Girl;Tom Hooper;no;no;no;no;yes;no;no;no;yes;no;no;Eddie Redmayne;Alicia Vikander;Amber Heard;Ben Whishaw;2015;119;7;110773;12.71;66
285;Hercules;Brett Ratner;yes;yes;no;no;no;no;no;no;no;no;no;Dwayne Johnson;John Hurt;Ian McShane;Joseph Fiennes;2014;98;6;122838;72.66;47
286;Sucker Punch;Zack Snyder;yes;no;no;no;no;yes;no;no;no;no;no;Emily Browning;Vanessa Hudgens;Abbie Cornish;Jena Malone;2011;110;6.1;204874;36.38;33
